symbol,name,date,price
AAPL,Apple Inc.,Nov 2013,74.95
AAPL,Apple Inc.,Dec 2013,79.95
AAPL,Apple Inc.,Jan 2014,76.78
AAPL,Apple Inc.,Feb 2014,75.23
AAPL,Apple Inc.,Mar 2014,76.17
AAPL,Apple Inc.,Apr 2014,77.3
AAPL,Apple Inc.,May 2014,86.17
AAPL,Apple Inc.,Jun 2014,91.89
AAPL,Apple Inc.,Jul 2014,95.63
AAPL,Apple Inc.,Aug 2014,98.44
AAPL,Apple Inc.,Sep 2014,100.55
AAPL,Apple Inc.,Oct 2014,101.7
AAPL,Apple Inc.,Nov 2014,113.29
AAPL,Apple Inc.,Dec 2014,112.41
AAPL,Apple Inc.,Jan 2015,110.64
AAPL,Apple Inc.,Feb 2015,125.43
AAPL,Apple Inc.,Mar 2015,125.97
AAPL,Apple Inc.,Apr 2015,127.29
AAPL,Apple Inc.,May 2015,128.76
AAPL,Apple Inc.,Jun 2015,127.81
AAPL,Apple Inc.,Jul 2015,125.34
AAPL,Apple Inc.,Aug 2015,113.39
AAPL,Apple Inc.,Sep 2015,112.8
AAPL,Apple Inc.,Oct 2015,113.36
AAPL,Apple Inc.,Nov 2015,118.16
AAPL,Apple Inc.,Dec 2015,111.73
AAPL,Apple Inc.,Jan 2016,98.43
AAPL,Apple Inc.,Feb 2016,95.75
AAPL,Apple Inc.,Mar 2016,104.27
AAPL,Apple Inc.,Apr 2016,106.74
AAPL,Apple Inc.,May 2016,94.97
AAPL,Apple Inc.,Jun 2016,96.62
AAPL,Apple Inc.,Jul 2016,98.56
AAPL,Apple Inc.,Aug 2016,107.67
AAPL,Apple Inc.,Sep 2016,110.86
AAPL,Apple Inc.,Oct 2016,115.71
AAPL,Apple Inc.,Nov 2016,110.15
AAPL,Apple Inc.,Dec 2016,114.34
AAPL,Apple Inc.,Jan 2017,119.57
AAPL,Apple Inc.,Feb 2017,133.71
AAPL,Apple Inc.,Mar 2017,140.62
AAPL,Apple Inc.,Apr 2017,142.89
AAPL,Apple Inc.,May 2017,152.23
AAPL,Apple Inc.,Jun 2017,147.83
AAPL,Apple Inc.,Jul 2017,148.3
AAPL,Apple Inc.,Aug 2017,159.39
AAPL,Apple Inc.,Sep 2017,157.61
AAPL,Apple Inc.,Oct 2017,157.82
AAPL,Apple Inc.,Nov 2017,172.41
AAPL,Apple Inc.,Dec 2017,171.89
AAPL,Apple Inc.,Jan 2018,174.01
AAPL,Apple Inc.,Feb 2018,161.47
AMZN,Amazon.com Inc,Jan 2010,127.42
AMZN,Amazon.com Inc,Feb 2010,118.02
AMZN,Amazon.com Inc,Mar 2010,130.9
AMZN,Amazon.com Inc,Apr 2010,141.07
AMZN,Amazon.com Inc,May 2010,127.61
AMZN,Amazon.com Inc,Jun 2010,121.67
AMZN,Amazon.com Inc,Jul 2010,117.52
AMZN,Amazon.com Inc,Aug 2010,126.37
AMZN,Amazon.com Inc,Sep 2010,147.66
AMZN,Amazon.com Inc,Oct 2010,160.74
AMZN,Amazon.com Inc,Nov 2010,168.52
AMZN,Amazon.com Inc,Dec 2010,178.84
AMZN,Amazon.com Inc,Jan 2011,182.35
AMZN,Amazon.com Inc,Feb 2011,181.12
AMZN,Amazon.com Inc,Mar 2011,168.8
AMZN,Amazon.com Inc,Apr 2011,184.58
AMZN,Amazon.com Inc,May 2011,198.17
AMZN,Amazon.com Inc,Jun 2011,191.67
AMZN,Amazon.com Inc,Jul 2011,215.2
AMZN,Amazon.com Inc,Aug 2011,199.46
AMZN,Amazon.com Inc,Sep 2011,223.24
AMZN,Amazon.com Inc,Oct 2011,226.84
AMZN,Amazon.com Inc,Nov 2011,205.48
AMZN,Amazon.com Inc,Dec 2011,183.93
AMZN,Amazon.com Inc,Jan 2012,185.03
AMZN,Amazon.com Inc,Feb 2012,183.24
